FIPS,Percent-of-Population-Under-15-(2013-2017),Percent-of-Population-Aged-15-to-64-(2013-2017),Percent-of-Population-65+-(2013-2017),Percent-of-Population-White-(non-Hispanic)-(2013-2017),Percent-of-Populaiton-Black-(non-Hispanic)-(2013-2017),Percent-of-Population-Hispanic-or-Latino-(2013-2017),Percent-of-Population-Asian-(non-Hispanic)-(2013-2017),Percent-of-Population-Native-American/Alaska-Native-(non-Hispanic)-(2013-2017),Percent-of-Population-Native-Hawaiian/Pacific-Islander-(2013-2017),Percent-of-Population-Aged-25+-who-Have-at-Least-a-High-School-Diploma-(2013-2017),Percent-of-Population-Aged-25+-who-Have-a-Bachelor's-Degree-or-More-(2013-2017),Poverty-Rate-(2013-2017),Median-Household-Income-(2013-2017),Unemployment-Rate-(2013-2017),Percent-of-Residents-with-a-Disability-(Aged-18-64)-(2013-2017),Percent-of-Popualtion-Employed-in-Mining-and-Natural-Resources-(2013-2017),Percent-of-Popualtion-Employed-in-Construction-(2013-2017),Percent-of-Popualtion-Employed-in-Trade-Transportation-and-Utilities-(2013-2017),Number-of-Substance-Use-Facilities-(As-of-March-2023),Number-of-Mental-Health-Facilities-(As-of-March-2023),MDsPerCapita,Urbanicity,Social-Resilience-Score,Economic-Risk-Score,Social-Risk-Score,Economic-Resilience-Score,Prosperity-Index-Score,delta_death_rate,goodsam-law,goodsam-cs_Arrest,goodsam-cs_Charge,goodsam-cs_Prosecution,goodsam-cs_Law provides an affirmative defense,goodsam-cs_None,goodsam-paraphernalia_Arrest,goodsam-paraphernalia_Charge,goodsam-paraphernalia_Prosecution,goodsam-paraphernalia_Law provides an affirmative defense,goodsam-paraphernalia_None,goodsam-paroleyn,goodsam-parole_Protection from arrest,goodsam-parole_Protection from charge,goodsam-parole_Protection from prosecution,goodsam-parole_Protection from revocation of probation and/or parole,goodsam-parole_General protection from sanctions for violation of probation and/or parole,goodsam-mitigation,goodsam-mit-type_Controlled substances offenses,goodsam-mit-type_Alcohol-related offenses,goodsam-mit-type_Other offenses beyond controlled substances and alcohol-related violations
1001,0.204,0.6562,0.1398,0.7568,0.1837,0.0257,0.0081,0.0041,0.0001,0.8758,0.2459,0.1227,53099.0,0.0559,0.1655,0.0182,0.04,0.2027,0.0,0.0,3.63,1,4.0,2.0,2.0,5.0,3.0,16.349070827807953,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1003,0.183,0.6298,0.1871,0.8318,0.0923,0.0437,0.0066,0.0062,0.0,0.9003,0.2955,0.1299,51365.0,0.0629,0.1089,0.0111,0.0492,0.2465,3.0,1.0,7.52,1,3.0,1.0,2.0,2.0,2.0,34.58473259,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1005,0.1794,0.6553,0.1653,0.4589,0.4789,0.0431,0.0044,0.0017,0.0,0.7376,0.1287,0.2637,33956.0,0.1282,0.1804,0.0441,0.0179,0.1978,1.0,1.0,0.0,0,5.0,5.0,3.0,4.0,5.0,26.301946344029457,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1007,0.1702,0.6809,0.1489,0.7477,0.2121,0.0222,0.0006,0.0036,0.0,0.807,0.12,0.1645,39776.0,0.0715,0.1385,0.0274,0.1752,0.1756,0.0,0.0,8.86,1,4.0,4.0,4.0,3.0,4.0,26.58160552897395,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1009,0.1942,0.6339,0.1719,0.8766,0.0156,0.0873,0.0016,0.003,0.0,0.8003,0.1305,0.1653,46212.0,0.0595,0.1317,0.0086,0.0493,0.2069,1.0,1.0,0.0,1,5.0,2.0,3.0,5.0,4.0,64.12033827810897,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1011,0.1799,0.6688,0.1513,0.2168,0.755,0.0012,0.008,0.008,0.0,0.6656,0.1026,0.2687,29335.0,0.1326,0.1593,0.0578,0.0,0.0891,0.0,0.0,0.0,0,5.0,5.0,3.0,5.0,5.0,28.43062926459439,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1013,0.1921,0.6267,0.1813,0.5278,0.4352,0.0125,0.01,0.0007,0.0,0.8106,0.1608,0.2566,34315.0,0.098,0.1757,0.0295,0.0294,0.2171,0.0,4.0,0.0,0,4.0,3.0,4.0,4.0,4.0,24.65483234714004,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1015,0.1813,0.6594,0.1593,0.73,0.2033,0.0344,0.0093,0.002,0.0001,0.8234,0.1765,0.1964,41954.0,0.1168,0.1889,0.0039,0.0182,0.1942,3.0,3.0,9.49,1,4.0,3.0,3.0,4.0,4.0,7.766454095941596,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1017,0.1758,0.6403,0.1839,0.5674,0.4048,0.0044,0.0092,0.0023,0.0,0.8026,0.1248,0.2031,36027.0,0.0749,0.1539,0.0243,0.0255,0.1834,0.0,0.0,2.94,0,5.0,3.0,4.0,5.0,4.0,26.45658181,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019,0.1677,0.6291,0.2032,0.9187,0.0461,0.0156,0.0033,0.0059,0.0,0.8128,0.1396,0.1645,38925.0,0.0586,0.1888,0.0404,0.0174,0.2339,2.0,2.0,7.72,0,4.0,2.0,4.0,4.0,4.0,27.030157933351354,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
