percent_of_population_under_15_(2013_2017),percent_of_population_aged_15_to_64_(2013_2017),percent_of_population_65plus_(2013_2017),percent_of_population_white_(non_hispanic)_(2013_2017),percent_of_populaiton_black_(non_hispanic)_(2013_2017),percent_of_population_hispanic_or_latino_(2013_2017),percent_of_population_asian_(non_hispanic)_(2013_2017),percent_of_population_native_american_alaska_native_(non_hispanic)_(2013_2017),percent_of_population_native_hawaiian_pacific_islander_(2013_2017),percent_of_population_aged_25plus_who_have_at_least_a_high_school_diploma_(2013_2017),percent_of_population_aged_25plus_who_have_a_bachelor's_degree_or_more_(2013_2017),poverty_rate_(2013_2017),median_household_income_(2013_2017),unemployment_rate_(2013_2017),percent_of_residents_with_a_disability_(aged_18_64)_(2013_2017),percent_of_popualtion_employed_in_mining_and_natural_resources_(2013_2017),percent_of_popualtion_employed_in_construction_(2013_2017),percent_of_popualtion_employed_in_trade_transportation_and_utilities_(2013_2017),number_of_substance_use_facilities_(as_of_march_2023),number_of_mental_health_facilities_(as_of_march_2023),mdspercapita,urbanicity,social_resilience_score,economic_risk_score,social_risk_score,economic_resilience_score,prosperity_index_score,delta_death_rate,m_enforce,ad_providers_Physicians,m_providers_Physicians,PDMP_any,PDMP_strestOnly if other state has PDMP laws consistent with or similar to this state,m_disc_specifics_Risks of the use of the drug,mmps-cann_THC,mmps-cpa_Independent third parties,PDMP_regkindPhysician prescribers,PDMP_Medicaid,m_write,PDMP_regawhen_Prior to accessing the PDMP,PDMP_proactNo action specified in the law,PDMP_regkindPhysician assistants,ad_disc_specifics_Risks of the use of the drug,PDMP_regkind_Optometrists,PDMP_agency_Professional licensing authority,PDMP_strest_Must have bilateral memorandum of understanding or data sharing agreement,mmps-label_Product potency,PDMP_leowhenActive investigations,PDMP_regkindNurse Practitioners,diff_std,m_law,PDMP_regkind_Pharmacists,PDMP_drepschSchedule V,PDMP_regkind_Podiatrists,ad_write,adult_law,PDMP_regkind_Dentists,PDMP_mimm,PDMP_agencyDepartment of Health 
0.204,0.6562,0.1398,0.7568,0.1837,0.0257,0.0081,0.0041,0.0001,0.8758,0.2459,0.1227,53099.0,0.0559,0.1655,0.0182,0.04,0.2027,0.0,0.0,3.63,1.0,4.0,2.0,2.0,5.0,3.0,-0.895508782,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.183,0.6298,0.1871,0.8318,0.0923,0.0437,0.0066,0.0062,0.0,0.9003,0.2955,0.1299,51365.0,0.0629,0.1089,0.0111,0.0492,0.2465,3.0,1.0,7.52,1.0,3.0,1.0,2.0,2.0,2.0,21.77041047721672,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1702,0.6809,0.1489,0.7477,0.2121,0.0222,0.0006,0.0036,0.0,0.807,0.12,0.1645,39776.0,0.0715,0.1385,0.0274,0.1752,0.1756,0.0,0.0,8.86,1.0,4.0,4.0,4.0,3.0,4.0,18.0373486,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1942,0.6339,0.1719,0.8766,0.0156,0.0873,0.0016,0.003,0.0,0.8003,0.1305,0.1653,46212.0,0.0595,0.1317,0.0086,0.0493,0.2069,1.0,1.0,0.0,1.0,5.0,2.0,3.0,5.0,4.0,-25.0604918,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1813,0.6594,0.1593,0.73,0.2033,0.0344,0.0093,0.002,0.0001,0.8234,0.1765,0.1964,41954.0,0.1168,0.1889,0.0039,0.0182,0.1942,3.0,3.0,9.49,1.0,4.0,3.0,3.0,4.0,4.0,23.154739805711827,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.2009,0.6466,0.1525,0.8061,0.1001,0.0762,0.0044,0.0031,0.0,0.801,0.1485,0.2027,42594.0,0.0794,0.1682,0.0208,0.0676,0.2263,2.0,1.0,2.28,1.0,5.0,2.0,4.0,4.0,4.0,30.73407557365393,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1769,0.6386,0.1845,0.7885,0.1565,0.024,0.0042,0.006,0.0006,0.8342,0.1847,0.1653,43786.0,0.0753,0.1741,0.0071,0.0611,0.1782,1.0,0.0,11.03,1.0,3.0,2.0,4.0,3.0,3.0,18.666972648727867,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1887,0.6725,0.1389,0.7369,0.2111,0.028,0.0056,0.002,0.0,0.8683,0.2224,0.143,53398.0,0.0747,0.1578,0.0111,0.0391,0.2119,2.0,1.0,2.47,1.0,4.0,2.0,2.0,4.0,3.0,2.6529824405016864,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1791,0.6473,0.1736,0.7843,0.1528,0.0363,0.0068,0.004,0.0006,0.8245,0.1649,0.1838,40478.0,0.0846,0.1834,0.0018,0.0294,0.1816,7.0,4.0,13.54,1.0,4.0,3.0,4.0,4.0,4.0,24.12671536514637,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1836,0.6269,0.1895,0.8406,0.0942,0.0371,0.0038,0.0047,0.0,0.7769,0.1166,0.2277,36519.0,0.1032,0.1902,0.0644,0.0285,0.2574,1.0,2.0,0.0,1.0,5.0,3.0,5.0,4.0,4.0,7.675940571308388,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1893,0.6341,0.1766,0.3997,0.5828,0.0121,0.0011,0.0032,0.0006,0.814,0.1403,0.2591,33351.0,0.1206,0.2054,0.0745,0.0545,0.1332,0.0,1.0,6.6,1.0,4.0,4.0,5.0,5.0,5.0,7.353503478330897,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1733,0.6204,0.2063,0.6856,0.2789,0.0253,0.0,0.0,0.0,0.807,0.1614,0.1528,41045.0,0.0753,0.1891,0.1077,0.06,0.2097,0.0,2.0,0.0,1.0,4.0,2.0,3.0,4.0,4.0,11.68144566543548,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
