fips,state_name,county_name,percent_of_population_under_15_(2013_2017),percent_of_population_aged_15_to_64_(2013_2017),percent_of_population_65plus_(2013_2017),percent_of_population_white_(non_hispanic)_(2013_2017),percent_of_populaiton_black_(non_hispanic)_(2013_2017),percent_of_population_hispanic_or_latino_(2013_2017),percent_of_population_asian_(non_hispanic)_(2013_2017),percent_of_population_native_american_alaska_native_(non_hispanic)_(2013_2017),percent_of_population_native_hawaiian_pacific_islander_(2013_2017),percent_of_population_aged_25plus_who_have_at_least_a_high_school_diploma_(2013_2017),percent_of_population_aged_25plus_who_have_a_bachelor's_degree_or_more_(2013_2017),poverty_rate_(2013_2017),median_household_income_(2013_2017),unemployment_rate_(2013_2017),percent_of_residents_with_a_disability_(aged_18_64)_(2013_2017),percent_of_popualtion_employed_in_mining_and_natural_resources_(2013_2017),percent_of_popualtion_employed_in_construction_(2013_2017),percent_of_popualtion_employed_in_trade_transportation_and_utilities_(2013_2017),number_of_substance_use_facilities_(as_of_march_2023),number_of_mental_health_facilities_(as_of_march_2023),mdspercapita,urbanicity,social_resilience_score,economic_risk_score,social_risk_score,economic_resilience_score,prosperity_index_score,death_rate_2013_2016,death_rate
1001,Alabama,Autauga County,0.204,0.6562,0.1398,0.7568,0.1837,0.0257,0.0081,0.0041,0.0001,0.8758,0.2459,0.1227,53099.0,0.0559,0.1655,0.0182,0.04,0.2027,0.0,0.0,3.63,1.0,4.0,2.0,2.0,5.0,3.0,16.349070827807953,-0.895508782
1003,Alabama,Baldwin County,0.183,0.6298,0.1871,0.8318,0.0923,0.0437,0.0066,0.0062,0.0,0.9003,0.2955,0.1299,51365.0,0.0629,0.1089,0.0111,0.0492,0.2465,3.0,1.0,7.52,1.0,3.0,1.0,2.0,2.0,2.0,34.58473259,21.77041047721672
1005,Alabama,Barbour County,0.1794,0.6553,0.1653,0.4589,0.4789,0.0431,0.0044,0.0017,0.0,0.7376,0.1287,0.2637,33956.0,0.1282,0.1804,0.0441,0.0179,0.1978,1.0,1.0,0.0,0.0,5.0,5.0,3.0,4.0,5.0,26.301946344029457,9.328917902377764
1007,Alabama,Bibb County,0.1702,0.6809,0.1489,0.7477,0.2121,0.0222,0.0006,0.0036,0.0,0.807,0.12,0.1645,39776.0,0.0715,0.1385,0.0274,0.1752,0.1756,0.0,0.0,8.86,1.0,4.0,4.0,4.0,3.0,4.0,26.58160552897395,18.0373486
1009,Alabama,Blount County,0.1942,0.6339,0.1719,0.8766,0.0156,0.0873,0.0016,0.003,0.0,0.8003,0.1305,0.1653,46212.0,0.0595,0.1317,0.0086,0.0493,0.2069,1.0,1.0,0.0,1.0,5.0,2.0,3.0,5.0,4.0,64.12033827810897,-25.0604918
1011,Alabama,Bullock County,0.1799,0.6688,0.1513,0.2168,0.755,0.0012,0.008,0.008,0.0,0.6656,0.1026,0.2687,29335.0,0.1326,0.1593,0.0578,0.0,0.0891,0.0,0.0,0.0,0.0,5.0,5.0,3.0,5.0,5.0,28.43062926459439,10.082754136137371
1013,Alabama,Butler County,0.1921,0.6267,0.1813,0.5278,0.4352,0.0125,0.01,0.0007,0.0,0.8106,0.1608,0.2566,34315.0,0.098,0.1757,0.0295,0.0294,0.2171,0.0,4.0,0.0,0.0,4.0,3.0,4.0,4.0,4.0,24.65483234714004,11.839615283327609
1015,Alabama,Calhoun County,0.1813,0.6594,0.1593,0.73,0.2033,0.0344,0.0093,0.002,0.0001,0.8234,0.1765,0.1964,41954.0,0.1168,0.1889,0.0039,0.0182,0.1942,3.0,3.0,9.49,1.0,4.0,3.0,3.0,4.0,4.0,7.766454095941596,23.154739805711827
1017,Alabama,Chambers County,0.1758,0.6403,0.1839,0.5674,0.4048,0.0044,0.0092,0.0023,0.0,0.8026,0.1248,0.2031,36027.0,0.0749,0.1539,0.0243,0.0255,0.1834,0.0,0.0,2.94,0.0,5.0,3.0,4.0,5.0,4.0,26.45658181,-0.61975572
1019,Alabama,Cherokee County,0.1677,0.6291,0.2032,0.9187,0.0461,0.0156,0.0033,0.0059,0.0,0.8128,0.1396,0.1645,38925.0,0.0586,0.1888,0.0404,0.0174,0.2339,2.0,2.0,7.72,0.0,4.0,2.0,4.0,4.0,4.0,27.030157933351354,9.005878102684683
