percent_of_population_under_15_(2013_2017),percent_of_population_aged_15_to_64_(2013_2017),percent_of_population_65plus_(2013_2017),percent_of_population_white_(non_hispanic)_(2013_2017),percent_of_populaiton_black_(non_hispanic)_(2013_2017),percent_of_population_hispanic_or_latino_(2013_2017),percent_of_population_asian_(non_hispanic)_(2013_2017),percent_of_population_native_american_alaska_native_(non_hispanic)_(2013_2017),percent_of_population_native_hawaiian_pacific_islander_(2013_2017),percent_of_population_aged_25plus_who_have_at_least_a_high_school_diploma_(2013_2017),percent_of_population_aged_25plus_who_have_a_bachelor's_degree_or_more_(2013_2017),poverty_rate_(2013_2017),median_household_income_(2013_2017),unemployment_rate_(2013_2017),percent_of_residents_with_a_disability_(aged_18_64)_(2013_2017),percent_of_popualtion_employed_in_mining_and_natural_resources_(2013_2017),percent_of_popualtion_employed_in_construction_(2013_2017),percent_of_popualtion_employed_in_trade_transportation_and_utilities_(2013_2017),number_of_substance_use_facilities_(as_of_march_2023),number_of_mental_health_facilities_(as_of_march_2023),mdspercapita,urbanicity,social_resilience_score,economic_risk_score,social_risk_score,economic_resilience_score,prosperity_index_score,delta_death_rate,m_enforce,ad_providers_Physicians,m_providers_Physicians,PDMP_any,PDMP_strestOnly if other state has PDMP laws consistent with or similar to this state,m_disc_specifics_Risks of the use of the drug,mmps-cann_THC,mmps-cpa_Independent third parties,PDMP_regkindPhysician prescribers,PDMP_Medicaid,m_write,PDMP_regawhen_Prior to accessing the PDMP,PDMP_proactNo action specified in the law,PDMP_regkindPhysician assistants,ad_disc_specifics_Risks of the use of the drug,PDMP_regkind_Optometrists,PDMP_agency_Professional licensing authority,PDMP_strest_Must have bilateral memorandum of understanding or data sharing agreement,mmps-label_Product potency,PDMP_leowhenActive investigations,PDMP_regkindNurse Practitioners,diff_std,m_law,PDMP_regkind_Pharmacists,PDMP_drepschSchedule V,PDMP_regkind_Podiatrists,ad_write,adult_law,PDMP_regkind_Dentists,PDMP_mimm,PDMP_agencyDepartment of Health ,population
0.1028,0.8306,0.0667,0.1491,0.0661,0.1003,0.2946,0.3331,0.0109,0.8436,0.1194,0.155,65926,0.0261,0.0615,0.001,0,0.0503,0,2,0,0,5,3,2,5,4,-0.978100247,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,999
0.1847,0.7357,0.0796,0.5308,0.0032,0.0488,0.0117,0.3174,0.0021,0.926,0.1911,0.0725,88000,0.0566,0.1076,0,0,0.1337,0,0,0,0,3,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,226
0.1525,0.7746,0.0729,0.8527,0.0099,0.008,0.0339,0.0311,0,0.9621,0.3852,0.1128,81302,0.012,0.0704,0,0,0.1008,0,2,0,0,1,4,2,3,2,-1.334086447,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,561
0.1523,0.682,0.1657,0.769,0.0004,0.0162,0.0336,0.0475,0.002,0.9545,0.4044,0.0525,53125,0.0382,0.1073,0.0123,0.0785,0.1749,1,1,39.56,0,1,3,1,1,1,8.107480300708325,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,618
0.1623,0.6711,0.1666,0.4832,0.0346,0.0498,0.0228,0.308,0.0005,0.9056,0.2426,0.1235,54091,0.1021,0.1266,0,0.01,0.1627,0,0,0,0,2,4,5,2,3,-4.487058812,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,444
0.2452,0.6938,0.0609,0.2027,0.0078,0.0206,0.0283,0.6811,0.0007,0.8635,0.1246,0.1877,43864,0.1171,0.1057,0,0.0127,0.1523,0,0,0,0,4,4,3,3,4,101.41987829614604,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,361
0.1085,0.7959,0.0957,0.7643,0.0049,0.0631,0.075,0.0464,0,0.9653,0.3371,0.0525,64853,0.0668,0.0702,0,0.0422,0.3443,0,0,0,0,1,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,371
0.167,0.6364,0.1966,0.6639,0.0029,0.03,0.0346,0.1749,0,0.8812,0.2026,0.0995,52986,0.072,0.1198,0.0295,0.0273,0.1627,1,1,41.65,0,2,4,3,1,2,4.604156223836739,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,471
0.1904,0.6935,0.1161,0.4319,0.0108,0.0279,0.0588,0.3111,0.0108,0.9446,0.1973,0.0789,66875,0.0705,0.0609,0,0,0.1684,0,1,0,0,4,4,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,180
0.1554,0.6368,0.2078,0.6791,0.0084,0.0777,0.0076,0.1892,0,0.9114,0.2975,0.1889,62375,0.1175,0.2199,0,0.0117,0.0246,1,1,0,0,2,4,4,2,3,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,231
